name;jahr;disziplin;altersklasse;leistung;grp_mean;z_score
Joerg Stutzke;2020;100 km;Maenner;55678,0;30967,512087813622;5,492736897116179
Celine Friebel;2020;10 km;20;3035,0;2337,4150442477876;5,490857699076268
Marlena Schulze;2024;10 000 m;U23;3447,6;2317,8159865470852;5,480966543406758
Florian Seel;2020;10 km;18;2599,0;2077,255415162455;5,475531575255183
Kathleen Hollenberg;2013;2000 m Hindernis;20;650,98;448,5752972258917;5,439572876645863
Erik Lutzmann;2020;10 km;18;2594,0;2077,255415162455;5,423058279562425
Pauline Simon;2020;10 km;20;3026,0;2337,4150442477876;5,420016550791471
Falk Wendrich;2012;Hochsprung;18;2,24;1,9245622119815666;5,41075298220827
Luca Zorrmann;2024;10 000 m;U23;2764,86;1957,6673254086184;5,3861817021190985
Paul Kroiss;2022;2000 m Hindernis;20;478,54;376,6722873345936;5,370454856698629
Beate Zanner;2001;5000 m;20;4307,0;1234,5418793706292;5,3518589295314625
Robin Petzold;2020;10 km;18;2587,0;2077,255415162455;5,349595665592563
Stephanie Marx;2001;5000 m;20;4294,0;1234,5418793706292;5,329214465928601
Helena Karl;2001;5000 m;20;4294,0;1234,5418793706292;5,329214465928601
Konstanze Klosterhalfen;2019;3000 m;U23;500,07;589,9804036458333;-5,312198742443924
Annika Lemke;2001;5000 m;20;4251,0;1234,5418793706292;5,254313547857596
Kimberly Jess;2006;Hochsprung;14;1,83;1,622604951560818;5,25089920425495
Lilli Marie Schaper;2021;3000 m;14;944,11;706,4907008086253;5,2319466170948346
Katrin Weigel;2001;5000 m;20;4228,0;1234,5418793706292;5,214250266098687
Lena Bartel;2001;5000 m;20;4226,0;1234,5418793706292;5,210766502467478
Ariane Friedrich;2009;Hochsprung;Frauen;2,06;1,7788400000000002;5,2032861354314965
Kimberly Jess;2007;Hochsprung;16;1,87;1,6650598476605005;5,200240136405162
Vivian Zimmer;2004;Speerwurf;18;60,14;43,32502938706969;5,185188632975618
Diana Obermeyer;2019;100 km;Frauen;74659,0;37423,01996746204;5,181708833666991
Johanna Elsner;2001;5000 m;20;4207,0;1234,5418793706292;5,177670747970987
Mareike Muenstermann;2001;5000 m;20;4204,0;1234,5418793706292;5,172445102524173
Johanna Goering;2021;Hochsprung;18;1,92;1,7040300870942202;5,156034282960887
Timon Rotter;2024;10 000 m;U23;2728,61;1957,6673254086184;5,144295108189518
Wiktor Vernikov;2020;10 km;18;2567,0;2077,255415162455;5,13970248282153
Aida Stahlhut;2018;100 km;Frauen;549,41;37423,01996746204;-5,131281903433931
Erik Zimmerling;2018;2000 m Hindernis;18;520,86;396,6684944237918;5,126307038796393
Simone Stegmaier;2018;100 km;Frauen;668,4;37423,01996746204;-5,114723415284049
Maria Rolfes;2018;100 km;Frauen;767,0;37423,01996746204;-5,101002372073877
Anton Graef;2020;Halbmarathon;U23;6195,0;4356,972816326531;5,100183575727837
Brigitte Rodenbeck-;2018;100 km;Frauen;779,57;37423,01996746204;-5,09925314780256
Sabine Unger;2018;100 km;Frauen;802,54;37423,01996746204;-5,096056673537472
Monika Sandelmann;2018;100 km;Frauen;949,49;37423,01996746204;-5,075607309442799
Marco Chlosta;2001;5000 m;20;3227,0;1023,6999051724137;5,067281277201493
Christin Hussong;2011;Speerwurf;18;59,74;43,32502938706969;5,061841676211071
Dennis Koethemann;2001;5000 m;20;3220,0;1023,6999051724137;5,051182258722947
Farina Schoebel;2013;2000 m Hindernis;20;635,9;448,5752972258917;5,034301863395903
Laura Glaesner;2013;2000 m Hindernis;20;635,9;448,5752972258917;5,034301863395903
Marvin Simon;2020;3000 m Hindernis;U23;753,0;571,2986039453718;5,033001968418664
Aljona Wilhelm;2001;5000 m;20;4122,0;1234,5418793706292;5,029610793644583
Maria Mueller;2001;5000 m;20;4119,0;1234,5418793706292;5,024385148197768
Nathalie Hochdoerffer;2001;5000 m;20;4118,0;1234,5418793706292;5,022643266382164
Sebastian Rietz;2001;5000 m;20;3205,0;1023,6999051724137;5,016684361983207
Christian Jakob;2001;5000 m;20;3205,0;1023,6999051724137;5,016684361983207
Florian Vek;2001;5000 m;20;3204,0;1023,6999051724137;5,014384502200557
Petra Thiel;2001;5000 m;20;4112,0;1234,5418793706292;5,012191975488536
Stephan Pfeifer;2001;5000 m;20;3202,0;1023,6999051724137;5,009784782635259
Alina Caps;2001;5000 m;20;4109,0;1234,5418793706292;5,006966330041721
